# mean, standard deviation
2.080995839226000498e+03,9.653565494908043831e+00
2.081249999999999545e+03,9.674683457354086968e+00
2.081571860950999962e+03,9.652552410883004086e+00
2.081837943875500059e+03,9.637391759502097699e+00
2.082105117141999926e+03,9.634878471353962581e+00
2.082383737724999719e+03,9.647203574092475975e+00
2.082859999999999673e+03,9.664750384774555059e+00
2.083359862362000058e+03,9.639751049453092691e+00
2.083807610106000084e+03,9.680983741963100186e+00
2.084183527724499982e+03,9.722141089426813210e+00
2.084501064811999640e+03,9.828498003966691599e+00
2.084859222283500458e+03,9.911085494737527313e+00
2.085104794691999814e+03,9.983882893839478356e+00
2.085368843492999986e+03,1.002167460274792354e+01
2.085639312541500203e+03,1.010265565896273721e+01
2.085908627989000252e+03,1.017055626621903563e+01
2.086172536479999962e+03,1.027458108526501945e+01
2.086418339259999811e+03,1.028082627404595151e+01
2.086586354815000050e+03,1.034427330533175748e+01
2.086775449611000113e+03,1.034853503757702597e+01
2.086976059733499824e+03,1.026321454167363534e+01
2.087322536480000508e+03,1.029673164522049866e+01
2.087495216018999599e+03,1.030199350420642013e+01
2.087667684144500072e+03,1.016958753298602680e+01
2.087852322859499509e+03,1.010110271046674768e+01
2.088136360199499904e+03,1.010824532986810809e+01
2.088404999999999745e+03,1.001246597996716581e+01
2.089013521690999823e+03,9.126032757251161698e+00
2.089431993693000095e+03,8.618313960919900651e+00
2.089845989839999675e+03,8.164414318790187863e+00
2.090193195741499949e+03,7.861641331614576345e+00
2.090433813732500312e+03,7.751643673059953166e+00
2.090705928352000228e+03,7.521906020482652444e+00
2.090953488692000064e+03,7.282072333512171092e+00
2.091191218352000305e+03,7.086496210738312485e+00
2.091408718335499543e+03,6.873968789141282620e+00
2.091816935593999915e+03,6.412458525191821579e+00
2.092227291156000319e+03,5.844818242671696140e+00
2.092596148262499810e+03,5.384188527710023209e+00
2.092926204864999818e+03,4.973369995808397448e+00
2.093275000000000546e+03,4.780991006057220716e+00
2.093534605280000051e+03,4.522740016894940318e+00
2.093733940050000456e+03,4.342230717007729446e+00
2.093929795864500193e+03,4.199752171205759055e+00
2.094134708231999866e+03,4.049917293812080210e+00
2.094238516923500356e+03,4.030469359215778091e+00
2.094433538387499993e+03,3.930408771420094816e+00
2.094572902771999907e+03,3.886703832186498619e+00
2.094623021227499521e+03,3.878065259641659601e+00
2.094713123139999880e+03,3.879781438643548963e+00
2.094824364948000039e+03,3.814223486084207249e+00
2.094985324586500155e+03,3.658066924863742742e+00
2.095081695845000468e+03,3.618929794571250191e+00
2.095126794181500372e+03,3.594061713145904946e+00
2.095211505799999941e+03,3.591465356263251696e+00
2.095331505799999832e+03,3.590468216436323523e+00
2.095446133499999632e+03,3.531639176365962474e+00
2.095542917795499307e+03,3.504504594581526522e+00
2.095619058698999652e+03,3.462560486522894720e+00
2.095736649149999266e+03,3.371869734119723461e+00
